chainage,x,y
32500,656044,1278292
32600,656138,1278258
32700,656232,1278225
32800,656326,1278191
32900,656420,1278157
33000,656515,1278124
33100,656609,1278090
33200,656703,1278056
33300,656797,1278023
33400,656891,1277989
33500,656985,1277955
33600,657079,1277921
33700,657174,1277888
33800,657268,1277854
33900,657362,1277820
34000,657456,1277787
34100,657550,1277753
34200,657644,1277719
34300,657740,1277691
34400,657837,1277664
34500,657933,1277637
34600,658029,1277610
34700,658125,1277583
34800,658222,1277556
34900,658318,1277528
35000,658414,1277501
35100,658510,1277474
35200,658607,1277447
35300,658703,1277420
35400,658799,1277393
35500,658895,1277366
35600,658992,1277339
35700,659088,1277312
35800,659184,1277285
35900,659280,1277258
36000,659369,1277216
36100,659446,1277152
36200,659524,1277089
36300,659601,1277026
36400,659678,1276962
36500,659756,1276899
36600,659833,1276835
36700,659910,1276772
36800,659988,1276708
36900,660065,1276645
37000,660142,1276582
37100,660219,1276518
37200,660297,1276455
37300,660374,1276391
37400,660451,1276328
37500,660529,1276264
37600,660606,1276201
37700,660683,1276138
37800,660761,1276074
37900,660838,1276011
38000,660915,1275947
38100,660992,1275884
38200,661070,1275820
38300,661147,1275757
38400,661224,1275693
38500,661262,1275613
38600,661256,1275513
38700,661250,1275413
38800,661243,1275314
38900,661237,1275214
39000,661230,1275114
39100,661224,1275014
39200,661217,1274914
39300,661211,1274815
39400,661205,1274715
39500,661198,1274615
39600,661192,1274515
39700,661185,1274416
39800,661179,1274316
39900,661200,1274220
40000,661235,1274126
40100,661269,1274032
40200,661304,1273938
40300,661338,1273845
40400,661373,1273751
40500,661407,1273657
40600,661442,1273563
40700,661477,1273469
40800,661511,1273375
40900,661546,1273281
41000,661580,1273188
41100,661615,1273094
41200,661673,1273022
41300,661763,1272977
41400,661853,1272933
41500,661942,1272889
41600,662032,1272845
41700,662122,1272800
41800,662211,1272756
41900,662301,1272712
42000,662391,1272668
42100,662480,1272624
42200,662570,1272579
42300,662660,1272535
42400,662750,1272491
42500,662841,1272453
42600,662939,1272430
42700,663036,1272408
42800,663134,1272385
42900,663231,1272363
43000,663329,1272340
43100,663426,1272318
43200,663523,1272295
43300,663621,1272273
43400,663718,1272250
43500,663816,1272228
43600,663913,1272205
43700,664011,1272182
43800,664076,1272107
43900,664141,1272032
44000,664207,1271956
44100,664272,1271880
44200,664337,1271804
44300,664402,1271728
44400,664468,1271653
44500,664533,1271577
44600,664598,1271501
44700,664663,1271425
44800,664729,1271349
44900,664794,1271274
45000,664859,1271198
45100,664924,1271122
45200,664990,1271046
45300,665056,1270971
45400,665124,1270899
45500,665193,1270826
45600,665261,1270753
45700,665330,1270680
45800,665399,1270607
45900,665467,1270535
46000,665536,1270462
46100,665604,1270389
46200,665673,1270316
46300,665741,1270243
46400,665810,1270170
46500,665878,1270098
46600,665947,1270025
46700,666015,1269952
46800,666084,1269879
46900,666152,1269806
47000,666221,1269734
47100,666290,1269661
47200,666358,1269588
47300,666427,1269515
47400,666495,1269442
47500,666564,1269369
47600,666632,1269297
47700,666701,1269224
47800,666766,1269148
47900,666828,1269070
48000,666891,1268992
48100,666954,1268914
48200,667017,1268836
48300,667079,1268758
48400,667142,1268681
48500,667205,1268603
48600,667268,1268525
48700,667330,1268447
48800,667393,1268369
48900,667456,1268291
49000,667518,1268213
49100,667581,1268135
49200,667650,1268063
49300,667720,1267992
49400,667790,1267920
49500,667860,1267849
49600,667930,1267777
49700,668000,1267706
49800,668070,1267634
49900,668140,1267563
50000,668210,1267491
50100,668280,1267420
50200,668350,1267348
50300,668420,1267277
50400,668489,1267205
50500,668559,1267134
50600,668629,1267063
50700,668699,1266991
50800,668769,1266920
50900,668839,1266848
51000,668909,1266777
51100,668979,1266705
51200,669050,1266635
51300,669136,1266585
51400,669223,1266535
51500,669310,1266486
51600,669397,1266436
51700,669484,1266386
51800,669570,1266336
51900,669657,1266287
52000,669744,1266237
52100,669831,1266187
52200,669917,1266138
52300,670004,1266088
52400,670091,1266038
52500,670178,1265989
52600,670265,1265939
52700,670351,1265889
52800,670438,1265839
52900,670525,1265790
53000,670612,1265740
53100,670698,1265690
53200,670785,1265641
53300,670877,1265603
53400,670972,1265570
53500,671066,1265537
53600,671161,1265505
53700,671255,1265472
53800,671350,1265439
53900,671444,1265407
54000,671539,1265374
54100,671633,1265341
54200,671728,1265309
54300,671822,1265276
54400,671917,1265243
54500,672011,1265210
54600,672106,1265178
54700,672200,1265145
54800,672295,1265112
54900,672389,1265080
55000,672484,1265047
55100,672578,1265014
55200,672673,1264982
55300,672768,1264949
55400,672851,1264899
55500,672923,1264829
55600,672995,1264759
55700,673066,1264690
55800,673138,1264620
55900,673209,1264550
56000,673281,1264480
56100,673352,1264410
56200,673424,1264340
56300,673495,1264270
56400,673567,1264200
56500,673638,1264130
56600,673710,1264061
56700,673781,1263991
56800,673853,1263921
56900,673924,1263851
57000,673996,1263781
57100,674067,1263711
57200,674139,1263641
57300,674210,1263571
57400,674283,1263503
57500,674356,1263434
57600,674429,1263366
57700,674502,1263298
57800,674575,1263229
57900,674648,1263161
58000,674721,1263093
58100,674794,1263024
58200,674867,1262956
58300,674940,1262888
58400,675013,1262819
58500,675086,1262751
58600,675159,1262683
58700,675232,1262614
58800,675305,1262546
58900,675378,1262478
59000,675451,1262409
59100,675524,1262341
59200,675597,1262273
59300,675673,1262208
59400,675765,1262171
59500,675858,1262133
59600,675951,1262095
59700,676043,1262058
59800,676136,1262020
59900,676229,1261982
60000,676321,1261945
60100,676414,1261907
60200,676506,1261869
60300,676599,1261831
60400,676692,1261794
60500,676784,1261756
60600,676877,1261718
60700,676970,1261681
60800,677062,1261643
60900,677155,1261605
61000,677247,1261568
61100,677340,1261530
61200,677433,1261492
61300,677525,1261455
61400,677616,1261412
61500,677706,1261369
61600,677796,1261325
61700,677886,1261282
61800,677976,1261238
61900,678066,1261195
62000,678156,1261151
62100,678246,1261108
62200,678336,1261065
62300,678427,1261021
62400,678517,1260978
62500,678607,1260934
62600,678697,1260891
62700,678787,1260847
62800,678877,1260804
62900,678967,1260761
63000,679057,1260717
63100,679147,1260674
63200,679237,1260631
63300,679330,1260594
63400,679424,1260558
63500,679517,1260521
63600,679610,1260485
63700,679703,1260448
63800,679796,1260412
63900,679889,1260375
64000,679982,1260339
64100,680075,1260302
64200,680168,1260266
64300,680262,1260229
64400,680355,1260193
64500,680448,1260156
64600,680541,1260120
64700,680634,1260083
64800,680727,1260047
64900,680820,1260010
65000,680913,1259974
65100,681006,1259937
65200,681100,1259901
65300,681192,1259862
65400,681282,1259819
65500,681372,1259777
65600,681463,1259734
65700,681553,1259691
65800,681643,1259648
65900,681734,1259605
66000,681824,1259562
66100,681915,1259520
66200,682005,1259477
66300,682095,1259434
66400,682186,1259391
66500,682276,1259348
66600,682366,1259306
66700,682457,1259263
66800,682547,1259220
66900,682638,1259177
67000,682728,1259134
67100,682818,1259091
67200,682909,1259049
67300,682999,1259006
67400,683078,1258950
67500,683126,1258863
67600,683174,1258775
67700,683223,1258688
67800,683271,1258600
67900,683320,1258513
68000,683368,1258425
68100,683417,1258338
68200,683465,1258250
68300,683513,1258163
68400,683562,1258076
68500,683610,1257988
68600,683659,1257901
68700,683707,1257813
68800,683756,1257726
68900,683804,1257638
69000,683827,1257541
69100,683849,1257443
69200,683870,1257346
69300,683892,1257248
69400,683913,1257150
69500,683935,1257053
69600,683957,1256955
69700,683978,1256857
69800,684000,1256760
69900,684021,1256662
70000,684043,1256565
70100,684064,1256467
70200,684086,1256369
70300,684107,1256272
70400,684129,1256174
70500,684151,1256076
70600,684172,1255979
70700,684194,1255881
70800,684215,1255783
70900,684237,1255686
71000,684228,1255587
71100,684213,1255488
71200,684201,1255389
71300,684202,1255289
71400,684204,1255189
71500,684215,1255094
71600,684296,1255036
71700,684378,1254978
71800,684459,1254919
71900,684553,1254925
72000,684651,1254947
72100,684749,1254968
72200,684848,1254981
72300,684947,1254990
72400,685047,1254998
72500,685147,1255007
72600,685238,1254974
72700,685326,1254927
72800,685415,1254881
72900,685492,1254819
73000,685558,1254744
73100,685624,1254669
73200,685685,1254590
73300,685744,1254509
73400,685803,1254429
73500,685862,1254348
73600,685918,1254265
73700,685974,1254182
73800,686030,1254100
73900,686086,1254017
74000,686139,1253932
74100,686192,1253847
74200,686245,1253763
74300,686298,1253678
74400,686351,1253593
74500,686402,1253507
74600,686453,1253421
74700,686504,1253335
74800,686559,1253251
74900,686617,1253170
75000,686675,1253088
75100,686731,1253005
75200,686783,1252920
75300,686836,1252835
75400,686887,1252749
75500,686937,1252662
75600,686986,1252576
75700,687035,1252489
75800,687082,1252400
75900,687128,1252312
76000,687175,1252223
76100,687220,1252134
76200,687254,1252040
76300,687288,1251946
76400,687322,1251852
76500,687359,1251759
76600,687403,1251669
76700,687448,1251580
76800,687493,1251490
76900,687533,1251399
77000,687574,1251308
77100,687614,1251216
77200,687655,1251125
77300,687695,1251033
77400,687735,1250942
